xData0, data0, errData0, xTheory0, theory0
0.0681640635, 0.160456911, 0.000903861726, 0.00957031264, 0.150673598
0.185351565, 0.158702329, 0.000929324535, 0.0242187504, 0.152238503
0.302539067, 0.152997866, 0.000956203624, 0.0388671881, 0.153637946
0.419726569, 0.144505769, 0.000984425805, 0.0535156258, 0.154877678
0.536914071, 0.134994358, 0.00101343, 0.0681640635, 0.155963287
0.654101572, 0.124623165, 0.00104459302, 0.0828125012, 0.156900287
0.771289074, 0.113611631, 0.0010738184, 0.097460939, 0.157694027
0.888476576, 0.096429944, 0.00110863353, 0.112109377, 0.158349767
1.00566408, 0.0854431018, 0.00114169275, 0.126757814, 0.158872634
1.12285158, 0.0736798048, 0.00117372493, 0.141406252, 0.159267634
1.24003908, 0.0597247556, 0.0012077396, 0.15605469, 0.15953967
1.35722658, 0.0449592061, 0.0012441327, 0.170703128, 0.159693509
1.47441408, 0.0369701236, 0.00128176428, 0.185351565, 0.159733817
1.59160159, 0.026391698, 0.00131797752, 0.200000003, 0.159665167
1.70878909, 0.0185538996, 0.0013562233, 0.214648441, 0.159491986
1.82597659, 0.0125209317, 0.00139581759, 0.229296878, 0.159218609
1.94316409, 0.00883932039, 0.00143316932, 0.243945316, 0.158849269
2.06035159, 0.00285842852, 0.00147691894, 0.258593754, 0.158388078
2.17753909, -0.00253841537, 0.0015204497, 0.273242192, 0.157839075
2.2947266, -0.00297503918, 0.00156033407, 0.287890629, 0.157206148
2.4119141, -0.00594792981, 0.00160683914, 0.302539067, 0.156493112
2.5291016, -0.00390291191, 0.0016508475, 0.317187505, 0.155703694
2.6462891, 0.000704470207, 0.00170033211, 0.331835942, 0.154841483
2.7634766, 0.000815893174, 0.00174626667, 0.34648438, 0.153910026
2.88066411, 0.00140842202, 0.00179607447, 0.361132818, 0.152912721
2.99785161, 0.00508750789, 0.00184740373, 0.375781256, 0.151852906
3.11503911, 0.00637798943, 0.00189946085, 0.390429693, 0.150733814
3.23222661, 0.0129613839, 0.00195766321, 0.405078131, 0.149558574
3.34941411, 0.0117499689, 0.0020082636, 0.419726569, 0.148330271
3.46660161, 0.014511277, 0.0020650645, 0.434375006, 0.147051841
3.58378912, 0.0191044956, 0.00212956344, 0.449023444, 0.145726189
3.70097662, 0.0190586597, 0.00219460976, 0.463671882, 0.144356102
3.81816412, 0.0186024997, 0.00226028941, 0.47832032, 0.142944291
3.93535162, 0.0198780149, 0.00232453334, 0.492968757, 0.141493395
4.05253912, 0.0183777716, 0.00239655957, 0.507617195, 0.140005976
4.16972662, 0.0169270542, 0.00246346986, 0.522265633, 0.138484478
4.28691413, 0.0163163543, 0.00252878678, 0.536914071, 0.136931315
4.40410163, 0.0142217781, 0.0026151526, 0.551562508, 0.135348827
4.52128913, 0.0120577486, 0.00269221254, 0.566210946, 0.133739233
4.63847663, 0.0151695972, 0.00277671025, 0.580859384, 0.13210471
4.75566413, 0.0160732567, 0.00285867429, 0.595507821, 0.130447388
4.87285164, 0.0144720552, 0.00294382483, 0.610156259, 0.128769264
4.99003914, 0.0116841504, 0.00304438018, 0.624804697, 0.127072349
5.10722664, 0.0103591783, 0.00312608948, 0.639453135, 0.125358492
5.22441414, 0.00402665557, 0.00322986123, 0.654101572, 0.123629577
5.34160164, 0.00639678771, 0.00332941059, 0.66875001, 0.121887341
5.45878914, 0.00727411406, 0.00344984261, 0.683398448, 0.120133497
5.57597665, 0.000666398962, 0.00354629856, 0.698046885, 0.118369706
5.69316415, 0.00658439752, 0.00366940848, 0.712695323, 0.116597541
5.81035165, 0.00654351106, 0.00378591286, 0.727343761, 0.114818536
5.92753915, 0.0013807239, 0.00390850826, 0.741992199, 0.113034166
6.04472665, 0.000274860271, 0.00404648362, 0.756640636, 0.111245841
6.16191415, -0.00140680373, 0.00416132639, 0.771289074, 0.109454922
6.27910166, 0.00552069675, 0.00431495785, 0.785937512, 0.107662722
6.39628916, 0.00200512097, 0.00444500766, 0.800585949, 0.105870493
6.51347666, -0.00738625694, 0.00460424477, 0.815234387, 0.10407944
6.63066416, 0.00977097824, 0.0047200842, 0.829882825, 0.102290727
6.74785166, -0.00230230205, 0.00491405974, 0.844531263, 0.100505456
6.86503916, 0.00452731922, 0.00509178711, 0.8591797, 0.0987246782
6.98222667, -0.00409745891, 0.00532375707, 0.873828138, 0.0969494283
7.09941417, 0.00959967822, 0.0054569329, 0.888476576, 0.0951806605
