xData0, data0, errData0, xTheory0, theory0
0.0583984384, 0.16119799, 0.000988013686, 0.00957031264, 0.150673598
0.15605469, 0.158799589, 0.00101087117, 0.0217773441, 0.151989341
0.253710941, 0.156005308, 0.00103512854, 0.0339843755, 0.153189495
0.351367193, 0.148970857, 0.0010599263, 0.0461914069, 0.154277429
0.449023444, 0.142389014, 0.00108649156, 0.0583984384, 0.155256391
0.546679696, 0.134586096, 0.00111272788, 0.0706054698, 0.156129628
0.644335947, 0.126351595, 0.00114117948, 0.0828125012, 0.156900287
0.741992199, 0.115772225, 0.00116782803, 0.0950195327, 0.157571465
0.83964845, 0.104074053, 0.00119919827, 0.107226564, 0.158146203
0.937304701, 0.0903146565, 0.00123008955, 0.119433596, 0.158627495
1.03496095, 0.0833801031, 0.00125893452, 0.131640627, 0.159018263
1.1326172, 0.0725252926, 0.00128875578, 0.143847658, 0.159321383
1.23027346, 0.0605122484, 0.00131956241, 0.15605469, 0.15953967
1.32792971, 0.0495370664, 0.00135260442, 0.168261721, 0.159675866
1.42558596, 0.039015945, 0.00138688002, 0.180468753, 0.159732714
1.52324221, 0.0323636755, 0.00142049328, 0.192675784, 0.159712836
1.62089846, 0.0250284672, 0.00145448162, 0.204882816, 0.15961884
1.71855471, 0.0173050761, 0.00148973894, 0.217089847, 0.159453258
1.81621096, 0.0134993456, 0.00152572852, 0.229296878, 0.159218609
1.91386722, 0.00993218925, 0.00155982855, 0.24150391, 0.158917308
2.01152347, 0.00435146736, 0.00159792908, 0.253710941, 0.158551767
2.10917972, 0.00123323279, 0.00163730331, 0.265917973, 0.158124313
2.20683597, -0.00328871375, 0.00167576063, 0.278125004, 0.157637224
2.30449222, -0.00338110956, 0.00171365439, 0.290332036, 0.157092765
2.40214847, -0.00586007722, 0.00175487756, 0.302539067, 0.156493112
2.49980472, -0.00443915091, 0.00179695489, 0.314746098, 0.155840412
2.59746098, -0.000408811087, 0.00184104424, 0.32695313, 0.155136749
2.69511723, -0.000237037515, 0.00188406786, 0.339160161, 0.154384196
2.79277348, 0.00150120992, 0.00192699581, 0.351367193, 0.153584734
2.89042973, 0.00106235209, 0.00197031931, 0.363574224, 0.152740344
2.98808598, 0.00488582067, 0.00201929601, 0.375781256, 0.151852906
3.08574223, 0.00636139559, 0.00206644551, 0.387988287, 0.15092431
3.18339848, 0.00967197027, 0.00211556354, 0.400195318, 0.149956375
3.28105474, 0.0140198804, 0.00217024286, 0.41240235, 0.148950875
3.37871099, 0.0116493339, 0.00221471334, 0.424609381, 0.147909552
3.47636724, 0.0141736297, 0.00226751901, 0.436816413, 0.146834105
3.57402349, 0.0190344397, 0.00232751523, 0.449023444, 0.145726189
3.67167974, 0.0194555502, 0.00238889945, 0.461230476, 0.144587427
3.76933599, 0.0191770326, 0.00244228416, 0.473437507, 0.14341937
3.86699225, 0.017351348, 0.00250544465, 0.485644538, 0.142223567
3.9646485, 0.0197995454, 0.00256790043, 0.49785157, 0.141001523
4.06230475, 0.0192526821, 0.00262959224, 0.510058601, 0.139754683
4.159961, 0.0180962496, 0.00269296027, 0.522265633, 0.138484478
4.25761725, 0.0155980028, 0.00274742609, 0.534472664, 0.137192279
4.3552735, 0.0169915538, 0.00282897902, 0.546679696, 0.135879442
4.45292975, 0.0093020089, 0.00289726289, 0.558886727, 0.134547278
4.55058601, 0.0137738073, 0.0029760344, 0.571093759, 0.133197054
4.64824226, 0.0158285946, 0.00304729702, 0.58330079, 0.131830022
4.74589851, 0.0162543003, 0.0031246389, 0.595507821, 0.130447388
4.84355476, 0.0147309592, 0.00320234162, 0.607714853, 0.129050314
4.94121101, 0.0131928911, 0.00328651885, 0.619921884, 0.127639964
5.03886726, 0.011217054, 0.00336988238, 0.632128916, 0.126217425
5.13652351, 0.0110744117, 0.0034470725, 0.644335947, 0.124783777
5.23417977, 0.00130979472, 0.00355537219, 0.656542979, 0.123340078
5.33183602, 0.00755759841, 0.00363481447, 0.66875001, 0.121887341
5.42949227, 0.00684934948, 0.00374549506, 0.680957041, 0.120426543
5.52714852, 0.0036709907, 0.00383711887, 0.693164073, 0.118958645
5.62480477, 9.44949134e-05, 0.00395010918, 0.705371104, 0.11748457
5.72246102, 0.00668673869, 0.00404678279, 0.717578136, 0.116005227
5.82011727, 0.00803213567, 0.00416132022, 0.729785167, 0.114521474
5.91777353, 0.00071623869, 0.00427333744, 0.741992199, 0.113034166
6.01542978, 0.00390880974, 0.00439027187, 0.75419923, 0.11154411
6.11308603, -0.00714769727, 0.00451303398, 0.766406261, 0.110052101
6.21074228, 0.000966644729, 0.00462330248, 0.778613293, 0.108558901
6.30839853, 0.0119649479, 0.00476539263, 0.790820324, 0.107065253
6.40605478, -0.000924970489, 0.00487676889, 0.803027356, 0.105571873
6.50371103, -0.00651039788, 0.00502064144, 0.815234387, 0.10407944
6.60136729, 0.0059667537, 0.00514573586, 0.827441419, 0.102588639
6.69902354, 0.000737660856, 0.00529466701, 0.83964845, 0.101100095
6.79667979, -0.00126136595, 0.00545054718, 0.851855481, 0.0996144414
6.89433604, 0.00360339647, 0.00563800358, 0.864062513, 0.0981322676
6.99199229, -0.00152382522, 0.0058627178, 0.876269544, 0.0966541544
7.08964854, 0.00775605999, 0.00596286012, 0.888476576, 0.0951806605
7.18730479, 0.0085054012, 0.00612839488, 0.900683607, 0.093712315
7.28496105, 0.00150844618, 0.00627379381, 0.912890639, 0.0922496393
7.3826173, 0.010125299, 0.00654181003, 0.92509767, 0.0907931104
7.48027355, 0.00180854963, 0.00665799785, 0.937304701, 0.08934322
7.5779298, -0.00289742253, 0.0069190976, 0.949511733, 0.0879004151
7.67558605, 0.0202326737, 0.00703788767, 0.961718764, 0.0864651352
7.7732423, 0.005230946, 0.00733527005, 0.973925796, 0.0850377977
7.87089855, 0.0097640194, 0.00762275187, 0.986132827, 0.0836188048
7.96855481, 0.00294656702, 0.00784283035, 0.998339859, 0.0822085291
8.06621106, 0.00402518921, 0.00800431809, 1.01054689, 0.0808073506
8.16386731, 0.00952772144, 0.00839011792, 1.02275392, 0.0794156119
8.26152356, 0.0095153423, 0.00858469026, 1.03496095, 0.0780336484
8.35917981, 0.00700652273, 0.00890595585, 1.04716798, 0.076661773
8.45683606, 0.00704608997, 0.00915644798, 1.05937502, 0.0753002912
8.55449231, 0.0096647637, 0.00950996583, 1.07158205, 0.073949486
8.65214857, 0.00579215027, 0.00984067139, 1.08378908, 0.0726096407
8.74980482, 0.000183172728, 0.0102746178, 1.09599611, 0.071281001
8.84746107, -0.00349314115, 0.010631035, 1.10820314, 0.0699638128
8.94511732, 0.0175529737, 0.0106704232, 1.12041017, 0.0686583146
9.04277357, 0.0023112027, 0.0111055353, 1.1326172, 0.0673647076
9.14042982, 0.0179822221, 0.0114849815, 1.14482424, 0.0660832152
9.23808608, 0.00918885227, 0.0119926742, 1.15703127, 0.0648140162
9.33574233, 0.00335137499, 0.0126396549, 1.1692383, 0.063557297
9.43339858, 0.026304489, 0.0127242474, 1.18144533, 0.0623132177
9.53105483, 0.00564200804, 0.0131882916, 1.19365236, 0.0610819384
 , , , 1.20585939, 0.0598636046
 , , , 1.21806642, 0.0586583503
 , , , 1.23027346, 0.0574662946
 , , , 1.24248049, 0.0562875569
 , , , 1.25468752, 0.0551222302
 , , , 1.26689455, 0.0539704189
 , , , 1.27910158, 0.0528321974
 , , , 1.29130861, 0.051707644
 , , , 1.30351564, 0.0505968258
 , , , 1.31572268, 0.0494997948
 , , , 1.32792971, 0.0484166034
 , , , 1.34013674, 0.0473472886
 , , , 1.35234377, 0.0462918878
 , , , 1.3645508, 0.0452504195
 , , , 1.37675783, 0.0442229062
 , , , 1.38896486, 0.0432093553
 , , , 1.4011719, 0.0422097705
 , , , 1.41337893, 0.0412241518
 , , , 1.42558596, 0.0402524844
 , , , 1.43779299, 0.0392947569
 , , , 1.45000002, 0.0383509472
 , , , 1.46220705, 0.0374210253
 , , , 1.47441408, 0.0365049578
 , , , 1.48662112, 0.0356027074
 , , , 1.49882815, 0.0347142294
 , , , 1.51103518, 0.0338394791
 , , , 1.52324221, 0.0329783969
 , , , 1.53544924, 0.0321309306
 , , , 1.54765627, 0.0312970094
 , , , 1.5598633, 0.0304765776
 , , , 1.57207034, 0.0296695568
 , , , 1.58427737, 0.0288758725
 , , , 1.5964844, 0.0280954503
 , , , 1.60869143, 0.0273282044
 , , , 1.62089846, 0.0265740529
 , , , 1.63310549, 0.0258329026
 , , , 1.64531252, 0.0251046661
 , , , 1.65751956, 0.0243892465
 , , , 1.66972659, 0.0236865487
 , , , 1.68193362, 0.0229964685
 , , , 1.69414065, 0.0223189052
 , , , 1.70634768, 0.0216537546
 , , , 1.71855471, 0.0210009087
 , , , 1.73076174, 0.0203602575
 , , , 1.74296878, 0.0197316911
 , , , 1.75517581, 0.0191150941
 , , , 1.76738284, 0.0185103528
 , , , 1.77958987, 0.0179173481
 , , , 1.7917969, 0.0173359644
 , , , 1.80400393, 0.0167660806
 , , , 1.81621096, 0.0162075758
 , , , 1.828418, 0.0156603269
 , , , 1.84062503, 0.0151242111
 , , , 1.85283206, 0.0145991035
 , , , 1.86503909, 0.0140848784
 , , , 1.87724612, 0.0135814101
 , , , 1.88945315, 0.01308857
 , , , 1.90166018, 0.0126062315
 , , , 1.91386722, 0.0121342652
 , , , 1.92607425, 0.0116725424
