 # FREQUENCY_MHZ      FFTREAL      FFTIMAG     EFFT
  9.07906963   2.75469980  -2.67796359   0.45387756
  9.15348824   2.42603705  -2.96255648   0.45387756
  9.22790684   2.03747026  -3.04262055   0.45387756
  9.30232544   1.67217477  -2.94255143   0.45387756
  9.37674405   1.39970101  -2.66719089   0.45387756
  9.45116265   1.34690986  -2.27361659   0.45387756
  9.52558125   1.56882300  -1.97167540   0.45387756
  9.59999986   1.86793026  -1.94267298   0.45387756
  9.67441846   2.00370549  -2.05364243   0.45387756
  9.74883706   2.07526810  -2.07947584   0.45387756
  9.82325567   2.27926581  -2.15864426   0.45387756
  9.89767427   2.39837528  -2.51152252   0.45387756
  9.97209287   2.12894640  -2.87746003   0.45387756
 10.04651148   1.69011938  -2.86509680   0.45387756
 10.12093008   1.49645917  -2.58226712   0.45387756
 10.19534869   1.55845485  -2.37336119   0.45387756
 10.26976729   1.66785971  -2.31203006   0.45387756
 10.34418589   1.76699807  -2.33253967   0.45387756
 10.41860450   1.82791080  -2.45203237   0.45387756
 10.49302310   1.74744209  -2.62345519   0.45387756
 10.56744170   1.52954405  -2.69678061   0.45387756
 10.64186031   1.30498981  -2.61545895   0.45387756
 10.71627891   1.15503430  -2.44137501   0.45387756
 10.79069751   1.08017692  -2.22128146   0.45387756
 10.86511612   1.09525621  -1.95460223   0.45387756
 10.93953472   1.27202174  -1.67542933   0.45387756
 11.01395332   1.64780872  -1.53731897   0.45387756
 11.08837193   2.05844715  -1.71767120   0.45387756
 11.16279053   2.20036209  -2.14733223   0.45387756
 11.23720913   1.98663124  -2.48820067   0.45387756
 11.31162774   1.68733607  -2.52291850   0.45387756
 11.38604634   1.56673874  -2.41023791   0.45387756
 11.46046495   1.54632687  -2.38990313   0.45387756
 11.53488355   1.42095954  -2.40451592   0.45387756
 11.60930215   1.25127842  -2.24214863   0.45387756
 11.68372076   1.29348803  -1.93111932   0.45387756
 11.75813936   1.61474221  -1.75380942   0.45387756
 11.83255796   1.98361033  -1.90075642   0.45387756
 11.90697657   2.13453248  -2.27685670   0.45387756
 11.98139517   1.99898343  -2.64818869   0.45387756
 12.05581377   1.68152506  -2.84047056   0.45387756
 12.13023238   1.35613868  -2.80397431   0.45387756
 12.20465098   1.17035598  -2.62964676   0.45387756
 12.27906958   1.12872821  -2.47550857   0.45387756
 12.35348819   1.11768709  -2.39549812   0.45387756
 12.42790679   1.08814820  -2.31812837   0.45387756
 12.50232540   1.10682399  -2.22032040   0.45387756
 12.57674400   1.18727136  -2.19781317   0.45387756
 12.65116260   1.19660528  -2.28714814   0.45387756
 12.72558121   1.04990959  -2.33561377   0.45387756
 12.79999981   0.88841979  -2.20432928   0.45387756
 12.87441841   0.88790707  -1.99189652   0.45387756
 12.94883702   1.01037038  -1.87750955   0.45387756
 13.02325562   1.10908236  -1.88345446   0.45387756
 13.09767422   1.11231296  -1.92250336   0.45387756
 13.17209283   1.02644869  -1.88394280   0.45387756
 13.24651143   0.98737685  -1.66599516   0.45387756
 13.32093003   1.23580085  -1.39354820   0.45387756
 13.39534864   1.72552201  -1.45307612   0.45387756
 13.46976724   1.97138761  -1.95231137   0.45387756
 13.54418584   1.67503940  -2.40647836   0.45387756
 13.61860445   1.21089558  -2.35831234   0.45387756
 13.69302305   1.10661122  -2.00088198   0.45387756
 13.76744166   1.35853074  -1.82766012   0.45387756
 13.84186026   1.58921615  -1.97812855   0.45387756
 13.91627886   1.59282016  -2.22983845   0.45387756
 13.99069747   1.44595819  -2.39267296   0.45387756
 14.06511607   1.26126534  -2.44910996   0.45387756
 14.13953467   1.07737714  -2.41598157   0.45387756
 14.21395328   0.94274360  -2.29469477   0.45387756
 14.28837188   0.90576977  -2.14339239   0.45387756
 14.36279048   0.93871292  -2.02595852   0.45387756
 14.43720909   1.01161747  -1.94294794   0.45387756
 14.51162769   1.13269678  -1.92335580   0.45387756
 14.58604629   1.23016462  -2.02473606   0.45387756
 14.66046490   1.18074541  -2.17622678   0.45387756
 14.73488350   1.00973579  -2.20187569   0.45387756
 14.80930210   0.91618455  -2.05389649   0.45387756
 14.88372071   1.02810087  -1.92283305   0.45387756
 14.95813931   1.19023920  -2.00689048   0.45387756
 15.03255792   1.15913870  -2.20504881   0.45387756
 15.10697652   0.97590720  -2.26405720   0.45387756
 15.18139512   0.87038564  -2.17672885   0.45387756
 15.25581373   0.87613860  -2.13550481   0.45387756
 15.33023233   0.82705233  -2.18670333   0.45387756
 15.40465093   0.65453391  -2.16925852   0.45387756
 15.47906954   0.52097072  -1.96565603   0.45387756
 15.55348814   0.61099157  -1.71861581   0.45387756
 15.62790674   0.83750064  -1.66561785   0.45387756
 15.70232535   0.95908083  -1.79943636   0.45387756
 15.77674395   0.91089875  -1.93784968   0.45387756
 15.85116255   0.76715583  -1.98682929   0.45387756
 15.92558116   0.58574000  -1.90134685   0.45387756
 15.99999976   0.49301423  -1.63923483   0.45387756
 16.07441837   0.66303834  -1.32839287   0.45387756
 16.14883697   1.05645336  -1.25109320   0.45387756
 16.22325557   1.35677577  -1.51169804   0.45387756
 16.29767418   1.32302204  -1.84471500   0.45387756
 16.37209278   1.11844322  -1.92678871   0.45387756
 16.44651138   1.09092116  -1.81364205   0.45387756
 16.52092999   1.27873439  -1.84393384   0.45387756
 16.59534859   1.37511990  -2.14563566   0.45387756
 16.66976719   1.16651767  -2.48243293   0.45387756
 16.74418580   0.77058804  -2.59285935   0.45387756
 16.81860440   0.41860509  -2.46307601   0.45387756
 16.89302300   0.19986283  -2.22225152   0.45387756
 16.96744161   0.09161175  -1.93728076   0.45387756
 17.04186021   0.11545976  -1.61789151   0.45387756
 17.11627881   0.32305742  -1.35645332   0.45387756
 17.19069742   0.63373401  -1.30435299   0.45387756
 17.26511602   0.83830650  -1.46933243   0.45387756
 17.33953463   0.82645191  -1.66491996   0.45387756
 17.41395323   0.70718687  -1.72589725   0.45387756
 17.48837183   0.63745923  -1.68769998   0.45387756
 17.56279044   0.60890663  -1.66813871   0.45387756
 17.63720904   0.52610964  -1.63963396   0.45387756
 17.71162764   0.44609851  -1.48581802   0.45387756
 17.78604625   0.53761999  -1.26072655   0.45387756
 17.86046485   0.80005665  -1.17561078   0.45387756
 17.93488345   1.03089388  -1.31329718   0.45387756
 18.00930206   1.07810262  -1.54305720   0.45387756
 18.08372066   0.96177195  -1.69350715   0.45387756
 18.15813926   0.81862318  -1.67334052   0.45387756
 18.23255787   0.82862394  -1.55111797   0.45387756
 18.30697647   1.00518734  -1.57061397   0.45387756
 18.38139507   1.06372277  -1.83646123   0.45387756
 18.45581368   0.79953728  -2.05631520   0.45387756
 18.53023228   0.46476968  -1.93106934   0.45387756
 18.60465089   0.41925961  -1.62618996   0.45387756
 18.67906949   0.60435233  -1.50767576   0.45387756
 18.75348809   0.69885763  -1.60776916   0.45387756
 18.82790670   0.61949926  -1.67677037   0.45387756
 18.90232530   0.54575963  -1.62454577   0.45387756
 18.97674390   0.53898721  -1.58257766   0.45387756
 19.05116251   0.47927255  -1.56370762   0.45387756
 19.12558111   0.39671079  -1.41710013   0.45387756
 19.19999971   0.50327565  -1.17824877   0.45387756
 19.27441832   0.81628666  -1.11360894   0.45387756
 19.34883692   1.06787614  -1.33899531   0.45387756
 19.42325552   1.04498024  -1.66209934   0.45387756
 19.49767413   0.80788554  -1.82698916   0.45387756
 19.57209273   0.57824106  -1.75977423   0.45387756
 19.64651134   0.51413502  -1.59234782   0.45387756
 19.72092994   0.58126906  -1.49876929   0.45387756
 19.79534854   0.63760665  -1.50967544   0.45387756
 19.86976715   0.63148272  -1.52488931   0.45387756
 19.94418575   0.64025480  -1.49791561   0.45387756
 20.01860435   0.70804579  -1.50496452   0.45387756
 20.09302296   0.76073468  -1.60764670   0.45387756
 20.16744156   0.70985831  -1.76394050   0.45387756
 20.24186016   0.52670354  -1.88305177   0.45387756
 20.31627877   0.24851419  -1.85383304   0.45387756
 20.39069737   0.03142438  -1.60516387   0.45387756
 20.46511597   0.06956330  -1.26429296   0.45387756
 20.53953458   0.33554860  -1.10880129   0.45387756
 20.61395318   0.54237155  -1.24471932   0.45387756
 20.68837178   0.46291480  -1.45208729   0.45387756
 20.76279039   0.19169105  -1.43152857   0.45387756
 20.83720899   0.02326241  -1.12208819   0.45387756
 20.91162760   0.15968704  -0.71685904   0.45387756
 20.98604620   0.59665366  -0.48165338   0.45387756
 21.06046480   1.13650243  -0.62752029   0.45387756
 21.13488341   1.42509114  -1.15593555   0.45387756
 21.20930201   1.20838089  -1.72180238   0.45387756
 21.28372061   0.66792970  -1.88224426   0.45387756
 21.35813922   0.28765288  -1.58266157   0.45387756
 21.43255782   0.31837245  -1.19853573   0.45387756
 21.50697642   0.57335353  -1.06230774   0.45387756
 21.58139503   0.75960426  -1.17115336   0.45387756
 21.65581363   0.75381175  -1.35148300   0.45387756
 21.73023223   0.57878262  -1.42346666   0.45387756
 21.80465084   0.40954476  -1.26212754   0.45387756
 21.87906944   0.49062835  -0.98674434   0.45387756
 21.95348804   0.79402954  -0.90756556   0.45387756
 22.02790665   1.01571500  -1.09206726   0.45387756
 22.10232525   1.02960016  -1.30540231   0.45387756
 22.17674386   0.97890858  -1.42407451   0.45387756
 22.25116246   0.93693893  -1.52487212   0.45387756
 22.32558106   0.84731281  -1.62516172   0.45387756
 22.39999967   0.71767813  -1.65916350   0.45387756
 22.47441827   0.62099610  -1.62173878   0.45387756
 22.54883687   0.59460917  -1.57023052   0.45387756
 22.62325548   0.62099152  -1.56962337   0.45387756
 22.69767408   0.63099334  -1.65630613   0.45387756
 22.77209268   0.53873103  -1.79353101   0.45387756
 22.84651129   0.31267436  -1.87976071   0.45387756
 22.92092989   0.00754200  -1.80882530   0.45387756
 22.99534849  -0.24390878  -1.52818459   0.45387756
 23.06976710  -0.27151746  -1.10737987   0.45387756
 23.14418570  -0.00541334  -0.77255015   0.45387756
 23.21860431   0.37252863  -0.73889474   0.45387756
 23.29302291   0.57415877  -0.94136993   0.45387756
 23.36744151   0.54753387  -1.12230924   0.45387756
 23.44186012   0.44668721  -1.17647001   0.45387756
 23.51627872   0.34811507  -1.14258020   0.45387756
 23.59069732   0.28715307  -1.01223826   0.45387756
 23.66511593   0.36658580  -0.83040288   0.45387756
 23.73953453   0.58764868  -0.75950503   0.45387756
 23.81395313   0.78805234  -0.86975728   0.45387756
 23.88837174   0.84760255  -1.05426253   0.45387756
 23.96279034   0.79371384  -1.18995388   0.45387756
 24.03720894   0.70572062  -1.23806120   0.45387756
 24.11162755   0.65505170  -1.20989363   0.45387756
 24.18604615   0.69960915  -1.17776912   0.45387756
 24.26046475   0.78891004  -1.25743361   0.45387756
 24.33488336   0.77032652  -1.43827485   0.45387756
 24.40930196   0.60377363  -1.56662081   0.45387756
 24.48372057   0.39848124  -1.56178763   0.45387756
 24.55813917   0.23976960  -1.45779284   0.45387756
 24.63255777   0.16216036  -1.30387294   0.45387756
 24.70697638   0.16537602  -1.16644175   0.45387756
 24.78139498   0.18181268  -1.07046811   0.45387756
 24.85581358   0.19236311  -0.94372825   0.45387756
 24.93023219   0.30082826  -0.77243980   0.45387756
 25.00465079   0.55555971  -0.70374774   0.45387756
 25.07906939   0.79534958  -0.86779597   0.45387756
 25.15348800   0.79307480  -1.14732224   0.45387756
 25.22790660   0.57008560  -1.24631497   0.45387756
 25.30232520   0.43871659  -1.06757392   0.45387756
 25.37674381   0.60933439  -0.88615185   0.45387756
 25.45116241   0.88859063  -1.00300009   0.45387756
 25.52558101   0.92037199  -1.33838510   0.45387756
 25.59999962   0.65963181  -1.52734093   0.45387756
 25.67441822   0.43439681  -1.41775913   0.45387756
 25.74883683   0.46370512  -1.27231912   0.45387756
 25.82325543   0.55677324  -1.33458898   0.45387756
 25.89767403   0.47678226  -1.48384308   0.45387756
 25.97209264   0.27205223  -1.51727823   0.45387756
 26.04651124   0.07484383  -1.41304851   0.45387756
 26.12092984  -0.05195263  -1.19448951   0.45387756
 26.19534845  -0.01375854  -0.90550615   0.45387756
 26.26976705   0.22321093  -0.71428103   0.45387756
 26.34418565   0.49781845  -0.74372707   0.45387756
 26.41860426   0.64877529  -0.90298426   0.45387756
 26.49302286   0.69780438  -1.06811437   0.45387756
 26.56744146   0.69341199  -1.25427972   0.45387756
 26.64186007   0.55725620  -1.47004752   0.45387756
 26.71627867   0.23369523  -1.56018130   0.45387756
 26.79069728  -0.10955624  -1.34787869   0.45387756
 26.86511588  -0.17211942  -0.90746453   0.45387756
 26.93953448   0.14261041  -0.58330239   0.45387756
 27.01395309   0.56199912  -0.63716522   0.45387756
 27.08837169   0.75129996  -0.94763600   0.45387756
 27.16279029   0.68954167  -1.23349178   0.45387756
 27.23720890   0.51910574  -1.42576370   0.45387756
 27.31162750   0.23481254  -1.53435392   0.45387756
 27.38604610  -0.13042090  -1.40607581   0.45387756
 27.46046471  -0.29292071  -1.00530692   0.45387756
 27.53488331  -0.08631531  -0.65586792   0.45387756
 27.60930191   0.22525550  -0.63772730   0.45387756
 27.68372052   0.31806061  -0.79654068   0.45387756
 27.75813912   0.25137071  -0.83210492   0.45387756
 27.83255772   0.27623715  -0.75910418   0.45387756
 27.90697633   0.37738930  -0.79661644   0.45387756
 27.98139493   0.33186470  -0.91172866   0.45387756
 28.05581354   0.17935838  -0.84681115   0.45387756
 28.13023214   0.22646126  -0.61907990   0.45387756
 28.20465074   0.51723062  -0.57744967   0.45387756
 28.27906935   0.69195922  -0.86439702   0.45387756
 28.35348795   0.49287008  -1.16469407   0.45387756
 28.42790655   0.12782916  -1.12833541   0.45387756
 28.50232516  -0.02801132  -0.81627238   0.45387756
 28.57674376   0.09835049  -0.54090128   0.45387756
 28.65116236   0.32325115  -0.43868664   0.45387756
 28.72558097   0.54630347  -0.46183813   0.45387756
 28.79999957   0.73711286  -0.62670030   0.45387756
 28.87441817   0.73970697  -0.91719857   0.45387756
 28.94883678   0.47600627  -1.08055866   0.45387756
 29.02325538   0.21098927  -0.91558104   0.45387756
 29.09767399   0.23481061  -0.61343507   0.45387756
 29.17209259   0.47898820  -0.47137138   0.45387756
 29.24651119   0.73235547  -0.53272650   0.45387756
 29.32092980   0.90578162  -0.73216087   0.45387756
 29.39534840   0.92429356  -1.02006287   0.45387756
 29.46976700   0.74533620  -1.24712425   0.45387756
 29.54418561   0.51199945  -1.29174563   0.45387756
 29.61860421   0.36137748  -1.25307108   0.45387756
 29.69302281   0.21052234  -1.22634999   0.45387756
 29.76744142   0.00446184  -1.08584150   0.45387756
 29.84186002  -0.06329433  -0.75386354   0.45387756
 29.91627862   0.17846733  -0.44057580   0.45387756
 29.99069723   0.61192058  -0.42011254   0.45387756
 30.06511583   0.94310003  -0.76471612   0.45387756
 30.13953443   0.89570072  -1.30245463   0.45387756
 30.21395304   0.39880194  -1.64779327   0.45387756
 30.28837164  -0.21426261  -1.46287727   0.45387756
 30.36279025  -0.43411591  -0.88664853   0.45387756
 30.43720885  -0.15985266  -0.43101431   0.45387756
 30.51162745   0.24934316  -0.36269236   0.45387756
 30.58604606   0.51089167  -0.53941695   0.45387756
 30.66046466   0.60190654  -0.80626083   0.45387756
 30.73488326   0.48708151  -1.10497420   0.45387756
 30.80930187   0.12991623  -1.25562863   0.45387756
 30.88372047  -0.26487076  -1.07081478   0.45387756
 30.95813907  -0.40461536  -0.66202290   0.45387756
 31.03255768  -0.26274969  -0.31650871   0.45387756
 31.10697628  -0.02252614  -0.15191180   0.45387756
 31.18139488   0.20007256  -0.11424983   0.45387756
 31.25581349   0.37880536  -0.15584236   0.45387756
 31.33023209   0.49184646  -0.24097636   0.45387756
 31.40465069   0.54787616  -0.32438418   0.45387756
 31.47906930   0.57109294  -0.40042706   0.45387756
 31.55348790   0.54588551  -0.46306004   0.45387756
 31.62790651   0.48393214  -0.45200941   0.45387756
 31.70232511   0.48544965  -0.34971061   0.45387756
 31.77674371   0.61956280  -0.27008219   0.45387756
 31.85116232   0.78793794  -0.33381536   0.45387756
 31.92558092   0.83460242  -0.47243031   0.45387756
 31.99999952   0.80433756  -0.50936139   0.45387756
 32.07441813   0.89661760  -0.47756108   0.45387756
 32.14883673   1.09688213  -0.61300082   0.45387756
 32.22325533   1.13481232  -0.95048439   0.45387756
 32.29767394   0.89818866  -1.22260167   0.45387756
 32.37209254   0.59750375  -1.25166118   0.45387756
 32.44651114   0.42087835  -1.16713369   0.45387756
 32.52092975   0.28696805  -1.11295464   0.45387756
 32.59534835   0.10063324  -0.99334565   0.45387756
 32.66976696   0.00457985  -0.71442620   0.45387756
 32.74418556   0.13945640  -0.43622924   0.45387756
 32.81860416   0.38918812  -0.34009138   0.45387756
 32.89302277   0.59339706  -0.38212749   0.45387756
 32.96744137   0.76478837  -0.48404140   0.45387756
 33.04185997   0.90176507  -0.70886177   0.45387756
 33.11627858   0.83975133  -1.05235840   0.45387756
 33.19069718   0.48612523  -1.28007999   0.45387756
 33.26511578   0.04195108  -1.15746272   0.45387756
 33.33953439  -0.16494171  -0.74683472   0.45387756
 33.41395299  -0.02591460  -0.35696233   0.45387756
 33.48837159   0.26819811  -0.20342126   0.45387756
 33.56279020   0.50940706  -0.23405023   0.45387756
 33.63720880   0.67276615  -0.33600628   0.45387756
 33.71162740   0.76530766  -0.49653996   0.45387756
 33.78604601   0.73755071  -0.67324060   0.45387756
 33.86046461   0.61125540  -0.77409477   0.45387756
 33.93488322   0.45180706  -0.76951951   0.45387756
 34.00930182   0.31161761  -0.62835259   0.45387756
 34.08372042   0.34501797  -0.35615642   0.45387756
 34.15813903   0.66398670  -0.19593516   0.45387756
 34.23255763   1.01816169  -0.40789628   0.45387756
 34.30697623   1.03023720  -0.82266155   0.45387756
 34.38139484   0.73948889  -1.02732723   0.45387756
 34.45581344   0.50473135  -0.94640920   0.45387756
 34.53023204   0.45096680  -0.83456714   0.45387756
 34.60465065   0.41810868  -0.79664500   0.45387756
 34.67906925   0.35319109  -0.71917955   0.45387756
 34.75348785   0.36676711  -0.58618623   0.45387756
 34.82790646   0.47412167  -0.51575978   0.45387756
 34.90232506   0.57078842  -0.54796920   0.45387756
 34.97674366   0.59203993  -0.62464663   0.45387756
 35.05116227   0.52321848  -0.67918573   0.45387756
 35.12558087   0.39483402  -0.61370706   0.45387756
 35.19999948   0.37200284  -0.37857400   0.45387756
 35.27441808   0.61410461  -0.15546773   0.45387756
 35.34883668   0.99586644  -0.19863448   0.45387756
 35.42325529   1.23969310  -0.49268587   0.45387756
 35.49767389   1.26104293  -0.83239384   0.45387756
 35.57209249   1.13567303  -1.10747697   0.45387756
 35.64651110   0.91487407  -1.28474706   0.45387756
 35.72092970   0.66699879  -1.32368530   0.45387756
 35.79534830   0.49339543  -1.26515963   0.45387756
 35.86976691   0.39328430  -1.22169491   0.45387756
 35.94418551   0.26459286  -1.21643630   0.45387756
 36.01860411   0.05927877  -1.15607388   0.45387756
 36.09302272  -0.15706458  -0.94128987   0.45387756
 36.16744132  -0.22479937  -0.54896231   0.45387756
 36.24185993   0.03362865  -0.14866596   0.45387756
 36.31627853   0.53512599  -0.08025189   0.45387756
 36.39069713   0.85080427  -0.42666664   0.45387756
 36.46511574   0.72301280  -0.78473728   0.45387756
 36.53953434   0.43714704  -0.78402442   0.45387756
 36.61395294   0.38822518  -0.55817059   0.45387756
 36.68837155   0.57881638  -0.45626126   0.45387756
 36.76279015   0.74300707  -0.57959672   0.45387756
 36.83720875   0.72096550  -0.75571946   0.45387756
 36.91162736   0.59894409  -0.80261048   0.45387756
 36.98604596   0.55189240  -0.73910805   0.45387756
 37.06046456   0.60469210  -0.71409812   0.45387756
 37.13488317   0.64416569  -0.77486052   0.45387756
 37.20930177   0.61753449  -0.84862597   0.45387756
 37.28372037   0.55695416  -0.89314406   0.45387756
 37.35813898   0.47876491  -0.91028073   0.45387756
 37.43255758   0.38733144  -0.88508454   0.45387756
 37.50697619   0.31311055  -0.80059445   0.45387756
 37.58139479   0.30544320  -0.66803111   0.45387756
 37.65581339   0.40620081  -0.55143058   0.45387756
 37.73023200   0.57432829  -0.55550616   0.45387756
 37.80465060   0.66409098  -0.69616282   0.45387756
 37.87906920   0.59177418  -0.82723387   0.45387756
 37.95348781   0.46475214  -0.81234880   0.45387756
 38.02790641   0.43976172  -0.69552512   0.45387756
 38.10232501   0.54061298  -0.61382402   0.45387756
 38.17674362   0.68939410  -0.63873316   0.45387756
 38.25116222   0.81420381  -0.77590968   0.45387756
 38.32558082   0.83637177  -1.01592353   0.45387756
 38.39999943   0.65521110  -1.26109905   0.45387756
 38.47441803   0.31012528  -1.30198693   0.45387756
 38.54883663   0.06041704  -1.06240079   0.45387756
 38.62325524   0.09835333  -0.76352977   0.45387756
 38.69767384   0.31091273  -0.65445540   0.45387756
 38.77209245   0.47948610  -0.74996456   0.45387756
 38.84651105   0.49155907  -0.93572569   0.45387756
 38.92092965   0.32066238  -1.05548465   0.45387756
 38.99534826   0.11606242  -0.93953637   0.45387756
 39.06976686   0.17718410  -0.69194920   0.45387756
 39.14418546   0.48069770  -0.72391583   0.45387756
 39.21860407   0.53461540  -1.13727398   0.45387756
 39.29302267   0.06759281  -1.42364605   0.45387756
 39.36744127  -0.49827233  -1.13204003   0.45387756
 39.44185988  -0.59011383  -0.49013660   0.45387756
 39.51627848  -0.18618349  -0.07196986   0.45387756
 39.59069708   0.26629970  -0.11135013   0.45387756
 39.66511569   0.43200868  -0.35238308   0.45387756
